设备序列号,设备型号,设备名称,设备版本,所属于客户,城市,服务开始日期,巡检周期/天,服务结束日期,维保月数,服务等级,维保服务,SO单号,设备详细地址,设备联系人,设备联系人电话,备注
850000147148,FAS3270,,,招商银行股份有限公司,（四川）成都,2022-09-01 00:00:00,90,2024-07-04 00:00:00,23,"4HR,NRD",合同已过保,4510566092,,,,
940000473718,FAS3270,,,招商银行股份有限公司,（四川）成都,2022-09-01 00:00:00,90,2024-07-04 00:00:00,23,"4HR,NRD",合同已过保,4510566092,,,,
451527000089,FAS8040,,,中国太平洋保险（集团）股份有限公司,（四川）成都,2022-07-01 00:00:00,90,2023-03-31 00:00:00,9,"4HR,NRD",合同已过保,4510409387,,,,
451527000090,FAS8040,,,中国太平洋保险（集团）股份有限公司,（四川）成都,2022-07-01 00:00:00,90,2023-03-31 00:00:00,9,"4HR,NRD",合同已过保,4510409387,,,,
451546000127,FAS8040,,,中国太平洋保险（集团）股份有限公司,（四川）成都,2022-07-01 00:00:00,90,2023-03-31 00:00:00,9,"4HR,NRD",合同已过保,4510409387,,,,
451546000128,FAS8040,,,中国太平洋保险（集团）股份有限公司,（四川）成都,2022-07-01 00:00:00,90,2023-03-31 00:00:00,9,"4HR,NRD",合同已过保,4510409387,,,,
451635000187,FAS8060,,,中国太平洋保险（集团）股份有限公司,（四川）成都,2022-07-01 00:00:00,90,2023-03-31 00:00:00,9,"4HR,NRD",合同已过保,4510409387,,,,
451635000188,FAS8060,,,中国太平洋保险（集团）股份有限公司,（四川）成都,2022-07-01 00:00:00,90,2023-03-31 00:00:00,9,"4HR,NRD",合同已过保,4510409387,,,,
451843000052,FAS8200,,,中国太平洋保险（集团）股份有限公司,（四川）成都,2022-07-01 00:00:00,90,2023-03-31 00:00:00,9,"4HR,NRD",合同已过保,4510409387,,,,
451843000053,FAS8200,,,中国太平洋保险（集团）股份有限公司,（四川）成都,2022-07-01 00:00:00,90,2023-03-31 00:00:00,9,"4HR,NRD",合同已过保,4510409387,,,,
70911200350,CN1610,,,中国太平洋保险（集团）股份有限公司,（四川）成都,2022-07-01 00:00:00,90,2023-03-31 00:00:00,9,"4HR,NRD",合同已过保,4510536454,,,,
70911200387,CN1610,,,中国太平洋保险（集团）股份有限公司,（四川）成都,2022-07-01 00:00:00,90,2023-03-31 00:00:00,9,"4HR,NRD",合同已过保,4510536454,,,,
80811200135,CN1610,,,中国太平洋保险（集团）股份有限公司,（四川）成都,2022-07-01 00:00:00,90,2023-03-31 00:00:00,9,"4HR,NRD",合同已过保,4510536454,,,,
80811200140,CN1610,,,中国太平洋保险（集团）股份有限公司,（四川）成都,2022-07-01 00:00:00,90,2023-03-31 00:00:00,9,"4HR,NRD",合同已过保,4510536454,,,,
451652000260,FAS8200,,,中国太平洋保险（集团）股份有限公司,（四川）成都,2022-07-01 00:00:00,90,2023-03-31 00:00:00,9,"4HR,NRD",合同已过保,4510409387,,,,
451652000261,FAS8200,,,中国太平洋保险（集团）股份有限公司,（四川）成都,2022-07-01 00:00:00,90,2023-03-31 00:00:00,9,"4HR,NRD",合同已过保,4510409387,,,,
451843000050,FAS8200,,,中国太平洋保险（集团）股份有限公司,（四川）成都,2022-07-01 00:00:00,90,2023-03-31 00:00:00,9,"4HR,NRD",合同已过保,4510409387,,,,
451843000051,FAS8200,,,中国太平洋保险（集团）股份有限公司,（四川）成都,2022-07-01 00:00:00,90,2023-03-31 00:00:00,9,"4HR,NRD",合同已过保,4510409387,,,,
451538000077,FAS8020,,,成都银行股份有限公司,（四川）成都,2023-02-01 00:00:00,90,2023-07-31 00:00:00,6,4HR,合同已过保,4510527351,,,,
451538000078,FAS8020,,,成都银行股份有限公司,（四川）成都,2023-02-01 00:00:00,90,2023-07-31 00:00:00,6,4HR,合同已过保,4510527351,,,,
451602000059,FAS8020,,,上海天马微电子有限公司,（四川）成都,2023-02-01 00:00:00,90,2023-10-31 00:00:00,9,4HR,合同已过保,4510521604,,,,
451602000060,FAS8020,,,上海天马微电子有限公司,（四川）成都,2023-02-01 00:00:00,90,2023-10-31 00:00:00,9,4HR,合同已过保,4510521604,,,,
9483233921,FLASHCACHE,,,上海天马微电子有限公司,（四川）成都,2023-02-01 00:00:00,90,2023-10-31 00:00:00,9,4HR,合同已过保,4510521604,,,,
9493719569,FLASHCACHE,,,上海天马微电子有限公司,（四川）成都,2023-02-01 00:00:00,90,2023-10-31 00:00:00,9,4HR,合同已过保,4510521604,,,,
941538000028,FAS2552,,,小华半导体有限公司,（四川）成都,2023-03-17 00:00:00,90,2024-03-16 00:00:00,12,4HR,合同已过保,4510543014,,,,
941538000029,FAS2552,,,小华半导体有限公司,（四川）成都,2023-03-17 00:00:00,90,2024-03-16 00:00:00,12,4HR,合同已过保,4510543014,,,,
451541000064,FAS8020,,,美的集团股份有限公司,（广东）广州,2023-07-04 00:00:00,90,2024-06-03 00:00:00,11,4HR,合同已过保,4510566096,,,,
451741000054,FAS8020,,,美的集团股份有限公司,（广东）广州,2023-07-04 00:00:00,90,2024-06-03 00:00:00,11,4HR,合同已过保,4510566096,,,,
451627000259,FAS2554,,,南通超达装备股份有限公司,上海,2022-10-12 00:00:00,90,2024-10-11 00:00:00,24,NBD,合同生效中,4510515272,,,,
451627000260,FAS2554,,,南通超达装备股份有限公司,上海,2022-10-12 00:00:00,90,2024-10-11 00:00:00,24,NBD,合同生效中,4510515272,,,,
211529000424,FAS8020,,,重庆康明斯发动机有限公司,重庆,2023-10-01 00:00:00,90,2024-09-30 00:00:00,12,NBD,合同生效中,4510568145,,,,
451535000217,FAS8020,,,重庆康明斯发动机有限公司,重庆,2023-10-01 00:00:00,90,2024-09-30 00:00:00,12,NBD,合同生效中,4510568145,,,,
451653000020,FAS8020,,,重庆康明斯发动机有限公司,重庆,2024-02-01 00:00:00,90,2025-01-31 00:00:00,12,NBD,合同生效中,4510568145,,,,
941802000009,FAS8020,,,重庆康明斯发动机有限公司,重庆,2024-02-01 00:00:00,90,2025-01-31 00:00:00,12,NBD,合同生效中,4510568145,,,,
451505000072,FAS8020,,,唐山捷准芯测信息科技有限公司,北京,2022-09-06 00:00:00,90,2023-09-05 00:00:00,12,"NBR,NRD",合同已过保,4510417607,,,,
451505000073,FAS8020,,,唐山捷准芯测信息科技有限公司,北京,2022-09-06 00:00:00,90,2023-09-05 00:00:00,12,"NBR,NRD",合同已过保,4510417607,,,,
451741000059,FAS8020,,,美的集团股份有限公司,（广东）广州,2023-07-04 00:00:00,90,2024-06-03 00:00:00,11,4HR,合同已过保,4510566096,,,,
701421000552,FAS8020,,,美的集团股份有限公司,（广东）广州,2023-07-04 00:00:00,90,2024-06-03 00:00:00,11,4HR,合同已过保,4510566096,,,,
451741000059,FAS8020,,,美的集团股份有限公司,（广东）广州,2024-06-01 00:00:00,90,2025-05-31 00:00:00,12,4HR，NRD,合同生效中,E004086307,,,,
701421000552,FAS8020,,,美的集团股份有限公司,（广东）广州,2024-06-01 00:00:00,90,2025-05-31 00:00:00,12,4HR，NRD,合同生效中,E004086307,,,,
451541000064,FAS8020,,,美的集团股份有限公司,（广东）广州,2024-06-01 00:00:00,90,2025-05-31 00:00:00,12,4HR，NRD,合同生效中,E004086307,,,,
451741000054,FAS8020,,,美的集团股份有限公司,（广东）广州,2024-06-01 00:00:00,90,2025-05-31 00:00:00,12,4HR，NRD,合同生效中,E004086307,,,,
70811200307,CN1610,,,美的集团股份有限公司,（广东）广州,2024-06-01 00:00:00,90,2025-05-31 00:00:00,12,4HR，NRD,合同生效中,E004086307,,,,
70811200275,CN1610,,,美的集团股份有限公司,（广东）广州,2024-06-01 00:00:00,90,2025-05-31 00:00:00,12,4HR，NRD,合同生效中,E004086307,,,,
CCD1913Q0N7,Brocade 6505,,,美的集团股份有限公司,（广东）佛山,2024-12-01 00:00:00,90,2025-05-31 00:00:00,6,4HR,合同未生效,E004086307,,,,
CCD1908Q122,Brocade 6505,,,美的集团股份有限公司,（广东）佛山,2024-12-01 00:00:00,90,2025-05-31 00:00:00,6,4HR,合同未生效,E004086307,,,,
CCD1912Q044,Brocade 6505,,,美的集团股份有限公司,（广东）佛山,2024-12-01 00:00:00,90,2025-05-31 00:00:00,6,4HR,合同未生效,E004086307,,,,
CCD1911Q0J9,Brocade 6505,,,美的集团股份有限公司,（广东）佛山,2024-12-01 00:00:00,90,2025-05-31 00:00:00,6,4HR,合同未生效,E004086307,,,,
451632000106,FAS8060,,,易方达基金管理有限公司,（广东）广州,2022-11-08 00:00:00,90,2024-12-07 00:00:00,25,4HR,合同生效中,4510418022,,,,
451632000107,FAS8060,,,易方达基金管理有限公司,（广东）广州,2022-11-08 00:00:00,90,2024-12-07 00:00:00,25,4HR,合同生效中,4510418022,,,,
451632000108,FAS8060,,,易方达基金管理有限公司,（广东）广州,2022-11-08 00:00:00,90,2024-12-07 00:00:00,25,4HR,合同生效中,4510418022,,,,
451632000109,FAS8060,,,易方达基金管理有限公司,（广东）广州,2022-11-08 00:00:00,90,2024-12-07 00:00:00,25,4HR,合同生效中,4510418022,,,,
451632000112,FAS8040,,,易方达基金管理有限公司,（广东）广州,2022-11-08 00:00:00,90,2024-12-07 00:00:00,25,4HR,合同生效中,4510418022,,,,
451632000113,FAS8040,,,易方达基金管理有限公司,（广东）广州,2022-11-08 00:00:00,90,2024-12-07 00:00:00,25,4HR,合同生效中,4510418022,,,,
451645000215,FAS8020,,,易方达基金管理有限公司,（广东）广州,2022-12-01 00:00:00,90,2024-11-30 00:00:00,24,4HR,合同生效中,4510418022,,,,
451645000216,FAS8020,,,易方达基金管理有限公司,（广东）广州,2022-12-01 00:00:00,90,2024-11-30 00:00:00,24,4HR,合同生效中,4510418022,,,,
451645000217,FAS8020,,,易方达基金管理有限公司,（广东）广州,2022-12-01 00:00:00,90,2024-11-30 00:00:00,24,4HR,合同生效中,4510418022,,,,
451645000218,FAS8020,,,易方达基金管理有限公司,（广东）广州,2022-12-01 00:00:00,90,2024-11-30 00:00:00,24,4HR,合同生效中,4510418022,,,,
451644000055,FAS8040,,,广州农村商业银行股份有限公司,（广东）广州,2022-11-16 00:00:00,90,2023-11-15 00:00:00,12,"4HR,NRD",合同已过保,4510521605,,,,
451644000056,FAS8040,,,广州农村商业银行股份有限公司,（广东）广州,2022-11-16 00:00:00,90,2023-11-15 00:00:00,12,"4HR,NRD",合同已过保,4510521605,,,,
451747000103,FAS8040,,,广州农村商业银行股份有限公司,（广东）广州,2022-11-16 00:00:00,90,2023-11-15 00:00:00,12,"4HR,NRD",合同已过保,4510521605,,,,
451747000104,FAS8040,,,广州农村商业银行股份有限公司,（广东）广州,2022-11-16 00:00:00,90,2023-11-15 00:00:00,12,"4HR,NRD",合同已过保,4510521605,,,,
451747000101,FAS8040,,,广州农村商业银行股份有限公司,（广东）广州,2023-11-01 00:00:00,90,2024-10-31 00:00:00,12,"4HR,NRD",合同生效中,E001761939,,,,
451747000102,FAS8040,,,广州农村商业银行股份有限公司,（广东）广州,2023-11-01 00:00:00,90,2024-10-31 00:00:00,12,"4HR,NRD",合同生效中,E001761939,,,,
BRW4017N05Z,Brocade 6510,,,广州农村商业银行股份有限公司,（广东）广州,2023-11-01 00:00:00,90,2024-10-31 00:00:00,12,4HR,合同生效中,E001761939,,,,
BRW4017N05X,Brocade 6510,,,广州农村商业银行股份有限公司,（广东）广州,2023-11-01 00:00:00,90,2024-10-31 00:00:00,12,4HR,合同生效中,E001761939,,,,
451512000028,FAS2520,,,日立安斯泰莫汽车零部件开发(广州) 有限公司,（广东）广州,2023-03-21 00:00:00,90,2023-06-20 00:00:00,3,4HR,合同已过保,4510544281,,,,
451512000029,FAS2520,,,日立安斯泰莫汽车零部件开发(广州) 有限公司,（广东）广州,2023-03-21 00:00:00,90,2023-06-20 00:00:00,3,4HR,合同已过保,4510544281,,,,
9468948240,X1937A,,,咪咕数字传媒有限公司,（浙江）杭州,2022-10-01 00:00:00,90,2024-03-31 00:00:00,18,4HR,合同已过保,4510502139,,,,
9469290872,X1937A,,,咪咕数字传媒有限公司,（浙江）杭州,2022-10-01 00:00:00,90,2024-03-31 00:00:00,18,4HR,合同已过保,4510502139,,,,
30711200106,CN1610,,,咪咕数字传媒有限公司,（浙江）杭州,2022-07-01 00:00:00,90,2024-03-31 00:00:00,21,4HR,合同已过保,4510502139,,,,
30711200110,CN1610,,,咪咕数字传媒有限公司,（浙江）杭州,2022-07-01 00:00:00,90,2024-03-31 00:00:00,21,4HR,合同已过保,4510502139,,,,
450000016432,FAS3250,,,咪咕数字传媒有限公司,（浙江）杭州,2022-07-01 00:00:00,90,2024-03-31 00:00:00,21,4HR,合同已过保,4510502139,,,,
450000016444,FAS3250,,,咪咕数字传媒有限公司,（浙江）杭州,2022-07-01 00:00:00,90,2024-03-31 00:00:00,21,4HR,合同已过保,4510502139,,,,
451449000036,FAS8040,,,咪咕数字传媒有限公司,（浙江）杭州,2022-10-01 00:00:00,90,2024-03-31 00:00:00,18,4HR,合同已过保,4510502139,,,,
451449000037,FAS8040,,,咪咕数字传媒有限公司,（浙江）杭州,2022-10-01 00:00:00,90,2024-03-31 00:00:00,18,4HR,合同已过保,4510502139,,,,
451608000254,FAS8020,,,咪咕数字传媒有限公司,（浙江）杭州,2022-10-01 00:00:00,90,2024-03-31 00:00:00,18,4HR,合同已过保,4510502139,,,,
451608000255,FAS8020,,,咪咕数字传媒有限公司,（浙江）杭州,2022-10-01 00:00:00,90,2024-03-31 00:00:00,18,4HR,合同已过保,4510502139,,,,
451541000061,FAS8020,,,杭州金投互联科技有限公司,（浙江）杭州,2022-12-01 00:00:00,90,2023-12-31 00:00:00,13,4HR,合同已过保,4510523644,,,,
94182000047,FAS8020,,,杭州金投互联科技有限公司,（浙江）杭州,2022-12-01 00:00:00,90,2023-12-31 00:00:00,13,4HR,合同已过保,4510523644,,,,
451541000052,FAS8040,,,杭州金投互联科技有限公司,（浙江）杭州,2022-12-01 00:00:00,90,2023-12-31 00:00:00,13,4HR,合同已过保,4510523644,,,,
451541000053,FAS8040,,,杭州金投互联科技有限公司,（浙江）杭州,2022-12-01 00:00:00,90,2023-12-31 00:00:00,13,4HR,合同已过保,4510523644,,,,
9487430280,FLASHCACHE,,,杭州金投互联科技有限公司,（浙江）杭州,2022-12-01 00:00:00,90,2023-12-31 00:00:00,13,4HR,合同已过保,4510523644,,,,
9487430474,FLASHCACHE,,,杭州金投互联科技有限公司,（浙江）杭州,2022-12-01 00:00:00,90,2023-12-31 00:00:00,13,4HR,合同已过保,4510523644,,,,
701442000653,FAS8040,,,杭州金投互联科技有限公司,（浙江）杭州,2022-12-01 00:00:00,90,2023-12-31 00:00:00,13,4HR,合同已过保,4510523644,,,,原SN：451541000050
451541000051,FAS8040,,,杭州金投互联科技有限公司,（浙江）杭州,2022-12-01 00:00:00,90,2023-12-31 00:00:00,13,4HR,合同已过保,4510523644,,,,
451431000150,FAS2554,,,松下家电（中国）有限公司,（浙江）杭州,2023-03-13 00:00:00,90,2023-09-12 00:00:00,6,4HR,合同已过保,4510542439,,,,
451431000151,FAS2554,,,松下家电（中国）有限公司,（浙江）杭州,2023-03-13 00:00:00,90,2023-09-12 00:00:00,6,4HR,合同已过保,4510542439,,,,
941631000012,FAS2552,,,松下家电（中国）有限公司,（浙江）杭州,2023-03-13 00:00:00,90,2023-09-12 00:00:00,6,4HR,合同已过保,4510542439,,,,
941631000013,FAS2552,,,松下家电（中国）有限公司,（浙江）杭州,2023-03-13 00:00:00,90,2023-09-12 00:00:00,6,4HR,合同已过保,4510542439,,,,
941836000084,FAS2650,,,松下家电（中国）有限公司,（浙江）杭州,2024-06-01 00:00:00,90,2024-09-30 00:00:00,4,4HR,合同生效中,4510563545,,,,
941836000085,FAS2650,,,松下家电（中国）有限公司,（浙江）杭州,2024-06-01 00:00:00,90,2024-09-30 00:00:00,4,4HR,合同生效中,4510563545,,,,
451810000023,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,薛总微信单发的修改时间，浙商所有的到期时间都改
451810000022,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,
451810000025,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,
451713000054,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,原SN:451810000024
451810000027,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,
451810000026,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,
451810000021,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,
451810000020,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,
451810000129,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,
451810000128,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,
451810000058,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,
451810000057,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,
451810000121,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,
451810000120,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,
451810000049,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,
451836000118,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,原SN:451810000048
451810000123,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,
451810000122,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,
451728000042,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,原451810000131
451810000130,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,
451810000127,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,
451810000126,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,
451810000125,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,
451810000124,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,
721701000113,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,"原SN:451810000047,不是我们这边换的"
451810000046,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,
451810000119,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,
451810000118,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,
451715000245,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,原SN:451810000133
451810000132,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,
451810000060,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,
451810000059,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,
451836000158,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,第一次原SN：451810000117改为452028000039；第二次452028000039改为451836000158
451810000116,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,
451810000054,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,
451810000053,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,
451836000119,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,原SN:451810000056
451810000055,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,
451810000115,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,
451810000114,FAS8200,,,浙商银行股份有限公司,（浙江）杭州,2023-05-04 00:00:00,90,2024-06-30 00:00:00,14,"4HR,NRD",合同已过保,4510549951,,,,
9496564109,FLASHCACHE,,,吉林亿联银行股份有限公司,（吉林）长春,2023-07-01 00:00:00,90,2024-07-31 00:00:00,13,NBD,合同已过保,4510561457,,,,
9496573198,FLASHCACHE,,,吉林亿联银行股份有限公司,（吉林）长春,2023-07-01 00:00:00,90,2024-07-31 00:00:00,13,NBD,合同已过保,4510561457,,,,
